"Reference","Value","Footprint","Datasheet","DigiKey","MPN","Qty"
"C1, C2, C4, C6, C7","10u","Capacitor_SMD:C_0805_2012Metric","~","1276-1096-1-ND","","5"
"C3, C8-C12","100n","Capacitor_SMD:C_0805_2012Metric","~","1276-2449-1-ND","","6"
"C5","1u","Capacitor_SMD:C_0805_2012Metric","~","1276-1026-1-ND","","1"
"D1, D13","NSR0320","Diode_SMD:D_SOD-323","~","NSR0320MW2T3GOSCT-ND","","2"
"D2","Power","LED_SMD:LED_0805_2012Metric","~","475-2488-1-ND","","1"
"D3","TX","LED_SMD:LED_0805_2012Metric","~","475-1410-1-ND","","1"
"D4","RX","LED_SMD:LED_0805_2012Metric","~","475-1410-1-ND","","1"
"D5","Status","LED_SMD:LED_0805_2012Metric","~","475-1410-1-ND","","1"
"D6","Error","LED_SMD:LED_0805_2012Metric","~","475-1278-1-ND","","1"
"D7","WiFi","LED_SMD:LED_0805_2012Metric","~","475-1410-1-ND","","1"
"D8","MQTT","LED_SMD:LED_0805_2012Metric","~","475-1410-1-ND","","1"
"D9-D12, D14-D21","D1213A","Diode_SMD:D_SOD-323","","D1213A-01WS-7DICT-ND","","12"
"H1-H4","M3","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","4"
"J1","USB","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","","","","1"
"J2","JTAG","eec:CNC_Tech-3220-10-0300-00-MFG","~","1175-1629-ND","3220-10-0300-00","1"
"J3","Speaker","Connector_JST:JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical","~","455-2872-1-ND","B2B-PH-SM4-TBT(LF)(SN)","1"
"J4","Driver","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical_SMD","~","1175-1621-ND","","1"
"J5","Groove","Grove:CONN_BM04B-PASS-1-TFTLFSN_JST","~","455-2639-1-ND","","1"
"J6","QWIIC","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","~","455-1790-1-ND","","1"
"Q1-Q3","MMBT3904","Package_TO_SOT_SMD:SOT-23","~","1727-4044-1-ND","","3"
"Q4, Q5","NX138AK","Package_TO_SOT_SMD:SOT-23","~","1727-2731-1-ND","","2"
"R1, R4, R10, R11, R15, R17-R20","1k","Resistor_SMD:R_0805_2012Metric","~","CR0805-FX-1001ELFCT-ND","","9"
"R2, R3","5.1k","Resistor_SMD:R_0805_2012Metric","~","CR0805-FX-5101ELFCT-ND","","2"
"R5","22.1k","Resistor_SMD:R_0805_2012Metric","~","CR0805-FX-2212ELFCT-ND","","1"
"R6","47.5k","Resistor_SMD:R_0805_2012Metric","~","311-47.5KCRCT-ND","","1"
"R7-R9, R12-R14, R16, R21, R22, R24-R29","10k","Resistor_SMD:R_0805_2012Metric","~","CR0805-FX-1002ELFCT-ND","","15"
"R23","100k","Resistor_SMD:R_0805_2012Metric","~","CR0805-FX-1003ELFCT-ND","","1"
"SW1","ESP Config","Button_Switch_SMD:SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm","~","2223-DS04-254-2-03BK-SMT-ND","DS04-254-2-03BK-SMT","1"
"SW2","Reset","Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","~","","","1"
"SW3","Gain","Button_Switch_SMD:Nidec_Copal_SH-7010B","~","563-1217-1-ND","","1"
"U1","AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","AZ1117IH-3.3TRG1DICT-ND","","1"
"U2","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","497-5235-1-ND","","1"
"U3","CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","336-5890-1-ND","","1"
"U4","ESP32-S3-WROOM-1","Espressif:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","1965-ESP32-S3-WROOM-1-N8CT-ND","","1"
"U5","MAX98357A","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm","","MAX98357AETE+TCT-ND","MAX98357AETE+T","1"
